no,date,red1,red2,red3,red4,red5,red6,blue1,dummy_red1,dummy_red2,dummy_red3,dummy_red4,dummy_red5,dummy_red6,dummy_blue1
03001,20030223,10,11,12,13,26,28,11,21,8,15,16,6,17,6
03002,20030227,04,09,19,20,21,26,12,2,16,6,3,10,1,7
03003,20030302,01,07,10,23,28,32,16,29,12,28,26,2,22,16
03004,20030306,04,06,07,10,13,25,03,11,31,17,25,21,20,1
03005,20030309,04,06,15,17,30,31,16,2,22,33,6,25,10,7
03006,20030313,01,03,10,21,26,27,06,1,17,33,9,16,10,16
03007,20030316,01,09,19,21,23,26,07,18,31,19,12,27,6,13
03008,20030320,05,08,09,14,17,23,08,31,13,2,19,14,1,7
03009,20030323,05,09,18,20,22,30,09,7,14,33,11,25,31,7
03010,20030327,01,02,08,13,17,24,13,9,15,18,23,14,30,1
03011,20030330,04,05,11,12,30,32,15,14,1,10,3,31,12,14
03012,20030403,02,12,16,17,27,30,12,21,28,22,8,3,15,7
03013,20030406,08,13,17,21,23,32,12,20,26,17,7,6,29,8
03014,20030410,03,05,07,08,21,31,02,5,1,33,17,12,24,3
03015,20030413,04,11,19,25,26,32,13,24,21,31,23,7,10,16
03016,20030417,11,17,28,30,31,33,06,7,5,25,24,31,27,16
03017,20030420,05,08,18,23,25,31,06,8,17,33,5,32,4,2
03018,20030424,05,16,19,20,25,28,13,8,12,17,14,16,24,6
03019,20030427,04,08,12,13,16,33,09,1,3,22,5,31,19,10
03020,20030501,07,10,25,26,27,32,04,26,9,27,11,29,23,6
03021,20030504,14,15,18,25,26,30,01,9,3,18,20,24,10,14
03022,20030508,02,07,11,12,14,32,08,4,8,20,9,21,10,6
03023,20030511,01,10,20,22,26,31,02,23,10,24,29,20,8,10
03024,20030515,02,07,15,17,22,30,14,16,31,2,7,18,25,13
03025,20030518,01,05,11,13,14,27,12,15,6,13,7,2,16,9
03026,20030522,08,13,15,26,29,31,16,11,21,17,8,16,15,8
03027,20030525,01,11,14,17,27,28,15,6,13,23,1,12,9,9
03028,20030529,06,13,16,20,28,32,07,4,22,16,28,15,20,3
03029,20030601,02,07,15,26,29,32,10,33,1,12,27,26,8,8
03030,20030605,02,06,13,14,23,27,07,31,25,16,24,22,1,3
03031,20030608,11,17,20,22,28,32,01,27,17,8,20,5,24,5
03032,20030612,04,11,25,27,29,30,13,1,9,23,30,31,8,15
03033,20030615,01,07,14,20,27,30,10,6,26,1,5,23,4,12
03034,20030619,08,13,14,16,23,25,14,7,30,11,3,12,29,8
03035,20030622,03,04,05,08,10,11,08,27,21,33,17,18,3,10
03036,20030626,07,21,24,25,27,28,15,17,6,26,32,10,2,9
03037,20030629,09,14,17,18,26,32,07,10,7,16,15,23,33,8
03038,20030703,05,07,08,24,25,27,16,5,2,30,7,12,24,2
03039,20030706,03,05,23,24,27,32,03,32,18,28,2,11,30,7
03040,20030710,04,05,06,12,14,23,16,13,5,22,8,19,11,13
03041,20030713,02,03,17,18,24,25,11,22,7,16,32,33,14,2
03042,20030717,03,05,07,10,15,20,07,32,3,29,21,6,31,5
03043,20030720,02,08,10,19,20,32,13,7,14,1,30,18,15,14
03044,20030724,02,05,09,16,32,33,15,24,7,20,25,29,17,11
03045,20030727,03,07,14,15,17,32,03,13,8,20,16,22,12,9
03046,20030731,07,08,10,11,17,26,11,21,32,13,19,14,8,2
03047,20030803,03,17,26,28,32,33,16,14,2,20,5,18,22,12
03048,20030807,10,12,20,28,30,31,09,27,11,12,31,28,30,4
03049,20030810,03,06,07,13,24,25,15,13,18,12,7,32,23,2
03050,20030814,02,08,17,23,24,26,13,4,16,25,6,19,18,6
03051,20030817,04,13,15,17,24,27,01,23,12,10,19,17,29,12
03052,20030821,01,12,13,23,30,31,11,6,16,2,28,8,7,7
03053,20030824,15,19,20,21,28,29,13,12,6,28,4,31,33,7
03054,20030828,02,05,09,21,31,33,12,31,25,32,18,33,26,14
03055,20030831,06,13,16,21,28,31,16,2,10,15,28,13,21,8
03056,20030904,08,17,21,26,28,29,07,23,22,26,27,33,11,2
03057,20030907,18,19,24,25,30,31,16,25,17,8,6,26,11,6
03058,20030911,09,11,16,28,32,33,02,23,29,24,7,12,26,15
03059,20030914,02,03,05,06,18,30,04,4,32,15,19,33,23,4
03060,20030918,02,04,06,17,21,28,11,7,23,4,20,12,13,16
03061,20030921,03,05,20,21,28,32,02,3,30,11,16,2,24,11
03062,20030925,01,06,12,19,20,32,14,7,9,31,17,2,3,1
03063,20030928,05,08,09,14,21,33,11,10,8,5,33,22,11,4
03064,20031002,04,06,08,12,15,30,01,28,13,4,11,22,14,9
03065,20031005,06,15,16,17,30,33,11,7,32,2,26,8,21,8
03066,20031009,03,07,08,20,24,32,14,9,22,25,4,5,12,7
03067,20031012,05,11,12,13,27,31,10,6,28,1,24,29,2,12
03068,20031016,09,19,25,27,32,33,11,4,25,7,15,31,24,14
03069,20031019,07,11,16,19,26,28,11,22,5,28,29,33,12,7
03070,20031023,01,02,04,17,18,19,08,8,7,2,29,28,4,3
03071,20031026,09,11,12,14,15,33,11,2,18,26,27,10,8,2
03072,20031030,03,06,08,11,19,27,11,10,12,9,6,5,17,6
03073,20031102,02,12,14,21,23,30,13,5,22,14,33,26,15,12
03074,20031106,02,12,19,22,27,32,01,30,7,13,28,24,4,8
03075,20031109,16,17,19,22,31,33,11,19,32,17,20,21,5,5
03076,20031113,01,13,16,18,20,29,02,19,11,1,5,14,29,13
03077,20031116,04,12,16,22,24,25,06,19,9,6,13,4,32,6
03078,20031120,07,12,23,26,29,30,11,18,3,2,15,27,4,16
03079,20031123,12,15,22,23,26,31,04,8,7,30,31,9,19,7
03080,20031127,09,20,24,25,28,30,10,14,30,9,1,27,13,15
03081,20031130,01,02,14,26,29,30,07,14,9,24,20,11,31,16
03082,20031204,07,17,18,19,30,31,14,11,26,23,9,28,2,8
03083,20031207,01,03,14,18,26,28,01,5,21,6,18,20,19,16
03084,20031211,02,06,07,10,17,33,03,24,20,27,1,23,32,4
03085,20031214,01,04,11,12,19,27,14,1,3,29,23,14,11,2
03086,20031218,05,12,16,18,26,30,13,7,21,16,11,22,32,1
03087,20031221,02,03,04,05,24,28,13,9,11,21,15,10,27,11
03088,20031225,03,10,21,22,24,33,12,26,33,22,21,10,2,11
03089,20031228,18,19,21,26,27,33,16,18,25,4,32,16,23,13
04001,20040101,01,02,03,07,10,25,07,30,20,6,17,2,31,8
04002,20040104,10,12,18,22,30,31,11,24,14,25,18,32,17,11
04003,20040108,03,05,06,17,26,33,08,6,32,1,20,15,16,7
04004,20040111,10,19,22,23,25,29,09,12,7,25,28,14,5,15
04005,20040115,09,11,13,16,17,18,07,9,16,19,33,12,15,7
04006,20040118,04,12,18,20,23,32,06,29,9,10,2,12,7,9
04007,20040129,04,12,17,20,25,28,09,13,12,15,23,3,29,7
04008,20040201,01,07,10,22,32,33,13,23,11,4,21,1,2,6
04009,20040205,01,09,10,16,22,24,11,7,27,24,16,22,2,9
04010,20040208,06,07,08,13,14,19,15,14,1,3,22,15,31,5
04011,20040212,01,04,13,23,28,30,03,29,17,3,32,28,12,12
04012,20040215,01,07,27,30,31,33,08,24,5,28,7,16,25,4
04013,20040219,12,14,21,29,30,32,13,16,1,8,14,32,3,15
04014,20040222,03,07,11,17,20,26,12,4,13,28,12,21,32,4
04015,20040226,01,03,05,18,22,23,13,33,1,4,20,24,29,10
04016,20040229,04,07,08,28,30,32,05,24,31,9,8,16,6,13
04017,20040304,05,12,14,15,25,31,09,13,8,12,5,27,20,15
